Wed Sep 9 11:21:01 PDT 2015, /home/dumerrill/graphs/spmv/qcd5_4, 49152, 49152, 				1916928, 	1298.77, 4464.30, 0.946314, 39.00000, 0.00000, 0.00000, -nan, MKL SpMV, 0.11013, 34.813511, 353.491, CPU CSR I/O Proxy, 0.05899, 64.992149, 659.920, Merge SpMV, 0.07767, 49.359466, 501.188, Merge SpMV NUMA, Numa setup ms, 3.17001, 0.07854, 48.814104, 495.651, POSKI Tuned SpMV, poski tune ms, 98.56677, 0.53713, 7.137654, 72.475,
Wed Sep 9 11:21:10 PDT 2015, /home/dumerrill/graphs/spmv/rail4284, 4284, 1092610, 			11279748, 	542714.91, 313186.92, 0.057310, 2632.99440, 4209.25932, 1.59866, 4.05684, MKL SpMV, 3.23325, 6.977352, 69.789, CPU CSR I/O Proxy, 2.22782, 10.126268, 101.286, Merge SpMV, 2.23306, 10.102525, 101.048, Merge SpMV NUMA, Numa setup ms, 14.18900, 1.66486, 13.550374, 135.535, POSKI Tuned SpMV, poski tune ms, 2359.61694, 3.95367, 5.705970, 57.073,
Wed Sep 9 11:21:36 PDT 2015, /home/dumerrill/graphs/spmv/rma10, 46835, 46835, 				2374001, 	6342.97, 9659.60, 0.634550, 50.68861, 27.78060, 0.54806, 0.91766, MKL SpMV, 0.21360, 22.228294, 224.914, CPU CSR I/O Proxy, 0.07069, 67.163098, 679.581, Merge SpMV, 0.09314, 50.977270, 515.807, Merge SpMV NUMA, Numa setup ms, 3.60489, 0.09447, 50.261641, 508.566, POSKI Tuned SpMV, poski tune ms, 137.56085, 0.65831, 7.212435, 72.978,
Wed Sep 9 11:21:46 PDT 2015, /home/dumerrill/graphs/spmv/scircuit, 170998, 170998, 			958936, 	17720.11, 33768.98, 0.666257, 5.60788, 4.39216, 0.78321, 20.25595, MKL SpMV, 0.12307, 15.583949, 172.513, CPU CSR I/O Proxy, 0.04327, 44.320843, 490.628, Merge SpMV, 0.08604, 22.289714, 246.745, Merge SpMV NUMA, Numa setup ms, 2.11596, 0.08726, 21.978919, 243.305, POSKI Tuned SpMV, poski tune ms, 409.60907, 0.67823, 2.827743, 31.303,
Wed Sep 9 11:22:06 PDT 2015, /home/dumerrill/graphs/spmv/shipsec1, 140874, 140874, 			7813404, 	2036.83, 1832.79, 0.997703, 55.46378, 11.07481, 0.19968, 0.71883, MKL SpMV, 1.48709, 10.508300, 106.220, CPU CSR I/O Proxy, 1.53588, 10.174486, 102.846, Merge SpMV, 1.53336, 10.191218, 103.015, Merge SpMV NUMA, Numa setup ms, 9.19914, 1.07416, 14.547901, 147.053, POSKI Tuned SpMV, poski tune ms, 297.38092, 1.51944, 10.284556, 103.958,
Wed Sep 9 11:22:25 PDT 2015, /home/dumerrill/graphs/spmv/webbase-1M, 1000005, 1000005, 		3105536, 	73241.49, 111946.45, 0.903420, 3.10552, 25.34521, 8.16134, 121.49432, MKL SpMV, 1.17115, 5.303381, 63.280, CPU CSR I/O Proxy, 0.46839, 13.260484, 158.225, Merge SpMV, 0.49643, 12.511356, 149.286, Merge SpMV NUMA, Numa setup ms, 4.80080, 0.49932, 12.439180, 148.425, POSKI Tuned SpMV, poski tune ms, 1512.17798, 1.46488, 4.239989, 50.592,


Wed Sep 9 11:22:52 PDT 2015, 08blocks, 300, 300, 592, 9.74, 11.57, 0.989895, 1.97333, 5.88098, 2.98023, 5.87780, MKL SpMV, 0.00477, 0.248044, 3.235, CPU CSR I/O Proxy, 0.00322, 0.368012, 4.799, Merge SpMV, 0.00439, 0.269695, 3.517, Merge SpMV NUMA, Numa setup ms, 1.60408, 0.00425, 0.278270, 3.629, POSKI Tuned SpMV, poski tune ms, 76.16997, 0.07775, 0.015229, 0.199,
Wed Sep 9 11:22:57 PDT 2015, 1138_bus, 1138, 1138, 4054, 59.86, 138.45, 0.893519, 3.56239, 1.80218, 0.50589, 2.22815, MKL SpMV, 0.00471, 1.719719, 20.094, CPU CSR I/O Proxy, 0.00346, 2.345006, 27.400, Merge SpMV, 0.00477, 1.700147, 19.865, Merge SpMV NUMA, Numa setup ms, 1.37877, 0.00458, 1.769040, 20.670, POSKI Tuned SpMV, poski tune ms, 40.40909, 0.07122, 0.113842, 1.330,
